,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Djibouti,0,0.2572,0.4276,0.6848,20.2702,0.1275,2.9085,3.036,3.2735,1.5724,1.8633,0.0406,9.7637,44.4582,54.2219,0.0579,5.5215,1.7428,7.3222,0.0568,1.6153,1.6721,4.2005,0,4.2005,12.2,18.9,18.9,"13,478",181,0.014,0,988000,%
Dominica,0,0.1219,1.4188,1.5407,3.4014,0.1244,4.4217,4.5461,19.3028,0.2255,6.8477,0.0035,4.6371,41.0989,45.736,0.0319,8.9011,2.782,11.715,1.1058,0.3797,1.4855,3.1738,0,3.1738,28.2,6.2,6.2,"4,783",32,0.066,0,72000,%
Dominican Republic,6.00E-04,0.2567,0.6059,0.8632,6.9232,0.6445,6.1202,6.7647,18.4431,0.5881,2.0198,0.0108,2.7385,38.7577,41.4962,0.1122,11.2417,3.5009,14.8548,1.1395,1.2948,2.4343,2.1332,0,2.1332,26.9,9.5,9.5,"57,470","1,091",0.005,0,10500000,%
Ecuador,0.0328,0.22,0.6893,0.9421,14.9132,0.6902,9.5745,10.2647,8.039,0.157,2.2701,0.016,2.4981,34.6522,37.1503,0.1277,15.3469,4.0115,19.4861,0.1765,1.3777,1.5542,1.737,0,1.737,19.3,7.9,7.9,"515,859","32,958",0.029,0.002,17511000,%
Egypt,0,0.317,1.5844,1.9014,17.5311,0.2307,2.7568,2.9875,6.9387,0.3063,2.6919,0.0268,10.6559,43.2622,53.9181,0.0896,6.7374,1.7583,8.5853,0.6541,0.3839,1.038,1.7984,2.0338,3.8322,31.1,4.5,4.5,"330,084","18,592",0.003,0,100803000,%
El Salvador,0,0.0794,0.573,0.6524,11.7265,0.7533,8.7381,9.4914,5.9517,1.4661,2.2462,0.0155,7.2703,37.1029,44.3732,0.1113,12.888,2.6337,15.633,1.4273,0.4565,1.8838,3.526,0,3.526,22.7,9,9,"113,422","3,622",0.018,0.001,6481000,%
Estonia,5.00E-04,0.1457,0.7127,0.8589,6.3498,0.6145,17.3068,17.9213,3.5061,0.1472,3.2403,0.0886,4.9558,27.6779,32.6337,0.4556,22.3154,3.081,25.852,0.0518,0.3472,0.399,2.3886,0,2.3886,23.8,2.9,2.9,"192,092","1,516",0.144,0.001,1331000,%
Eswatini,0.0019,0.262,0.3643,0.6282,14.7814,0.1578,3.9299,4.0877,8.5537,0.3578,5.3187,0.0892,2.5701,42.5816,45.1517,0.1024,7.4118,2.5917,10.1059,0.3005,0.3258,0.6263,3.1796,0,3.1796,13.5,20.6,20.6,"46,413","1,242",0.042,0.001,1104000,%
Ethiopia,0,0.1382,0.0608,0.199,22.0779,0.0594,4.2647,4.3241,1.1774,3.0195,11.2918,0.0802,1.8449,44.6989,46.5438,0.0276,5.2956,0.7462,6.0694,0.2322,0.4699,0.7021,1.317,0,1.317,3.6,20.6,20.6,"364,960","6,451",0.003,0,114916000,%
Fiji,0.0021,0.1642,2.3832,2.5495,10.144,0.2682,1.7421,2.0103,2.1636,0.7746,7.8599,0.0157,3.9255,42.1469,46.0724,0.2922,7.8511,3.0004,11.1437,4.3799,0.8683,5.2482,9.7259,0,9.7259,30,3.7,3.7,"52,141",674,0.058,0.001,896000,%
Finland,0,0.1097,1.5306,1.6403,5.1978,0.3979,20.8378,21.2357,3.1864,0.0533,2.7671,0.046,3.8325,23.1132,26.9457,0.519,26.8865,3.4915,30.897,0.0883,0.2468,0.3351,1.8388,0,1.8388,24.9,<2.5,2,"157,531","1,158",0.028,0,5529000,%
France,0.0011,0.301,1.8214,2.1235,6.9951,0.611,13.784,14.395,4.878,0.0991,2.6963,0.2093,5.1223,28.2903,33.4126,0.7907,21.7097,4.4005,26.9009,0.1479,0.8675,1.0154,2.611,0,2.611,23.2,<2.5,2,"7,262,178","118,612",0.112,0.002,64940000,%
French Polynesia,0.0169,0.2748,3.4809,3.7726,7.6479,0.5386,2.9364,3.475,4.3512,0.1452,3.5436,0.0405,4.0992,35.6559,39.7551,0.0309,14.3585,7.0798,21.4692,3.1818,0.9675,4.1493,2.8715,0.6809,3.5524,NA,4.2,4.2,,,0,0,280000,%
Gabon,0,0.5758,2.2578,2.8336,9.1158,0.0701,0.9486,1.0187,9.0341,0.0139,11.8727,0.0051,2.3979,41.8004,44.1983,0.0109,8.1825,4.32,12.5134,0.8509,0.4824,1.3333,1.2508,0.1248,1.3756,13.4,10.5,10.5,"35,525",239,0.016,0,2231000,%
Gambia,0,0.0812,3.9197,4.0009,21.8908,0.2008,4.8167,5.0175,0.8742,0.1281,0.8614,0.0897,2.4575,39.8291,42.2866,0.0114,10.1417,1.1134,11.2665,3.1637,2.2026,5.3663,4.1176,0,4.1176,8.7,10.2,10.2,"9,965",340,0.004,0,2417000,%
Georgia,0,0.1507,0.6622,0.8129,15.6253,0.5032,11.3605,11.8637,3.1735,0.0025,3.7542,0.1631,4.0993,34.4636,38.5629,0.2356,15.5347,2.6217,18.392,0.084,0.668,0.752,3.311,0,3.311,23.3,7.9,7.9,"715,865","10,003",0.193,0.003,3715000,%
Germany,0.0011,0.0747,0.6758,0.7516,6.0363,0.5947,14.1789,14.7736,3.6131,0.0419,3.5712,0.1903,5.0542,29.1443,34.1985,0.6715,20.8485,4.6524,26.1724,0.1701,0.8104,0.9805,2.507,0,2.507,25.7,<2.5,2,"4,608,512","95,734",0.055,0.001,83300000,%
Ghana,0,0.0917,1.4992,1.5909,6.323,0.0705,0.4178,0.4883,10.4274,0.392,24.6325,0.0364,1.6849,47.1041,48.789,0.0088,2.8956,0.8069,3.7113,0.7957,0.3655,1.1612,0.8128,0.2815,1.0943,9.7,5.5,5.5,"130,077","1,175",0.004,0,31073000,%
Greece,5.00E-04,0.1947,1.026,1.2212,7.2801,0.4539,12.0221,12.476,6.3296,0.2539,3.1307,0.6676,7.9134,32.3038,40.2172,0.2116,17.6914,3.7836,21.6866,0.8112,1.5237,2.3349,1.7744,0,1.7744,27.4,<2.5,2,"739,448","15,894",0.069,0.001,10700000,%
Grenada,0.0019,0.1266,2.5802,2.7087,7.6569,0.9226,2.7183,3.6409,11.0608,0.6417,2.2222,0.0143,3.6085,37.8648,41.4733,0.1276,12.1319,5.6546,17.9141,1.3768,0.9959,2.3727,5.448,0,5.448,20.2,NA,NA,"5,840",198,0.052,0.002,113000,%
Guatemala,0,0.1632,0.2807,0.4439,15.1579,1.4676,4.4093,5.8769,6.7124,1.6504,1.3316,0.198,5.7997,39.624,45.4237,0.0957,10.3765,3.9589,14.4311,0.5276,0.8747,1.4023,5.3058,0,5.3058,18.8,15.2,15.2,"601,402","15,050",0.033,0.001,18066000,%
Guinea,0,0.1692,0.8939,1.0631,17.2911,0.1648,1.4724,1.6372,7.9395,0.3925,11.7958,9.00E-04,4.4286,46.1202,50.5488,0.0213,3.8776,1.1561,5.055,0.9506,1.3271,2.2777,1.3368,0,1.3368,6.6,16.5,16.5,"30,653",385,0.002,0,12560000,%
Guinea-Bissau,0,0.2114,0.1666,0.378,21.6069,0.1038,2.1899,2.2937,6.366,0.2499,8.1087,0.4485,2.3642,45.0666,47.4308,0.0423,4.9295,2.2155,7.1873,0.328,1.8016,2.1296,0.7893,0,0.7893,8.2,28,28,"6,133",141,0.003,0,1927000,%
Guyana,0,0.0385,1.7011,1.7396,9.7847,0.1038,4.7277,4.8315,5.7954,0.3907,1.8384,0.0435,15.2061,40.8722,56.0783,0.0206,9.1155,2.5237,11.6598,1.8367,0.2779,2.1146,3.2325,0,3.2325,19.2,8.1,8.1,"35,548",913,0.045,0.001,787000,%
Haiti,0,0.1532,0.5064,0.6596,13.4196,0.0525,0.8765,0.929,12.0278,2.0067,11.48,0,2.0302,46.3997,48.4299,0.0402,3.5986,1.9687,5.6075,0.4829,0.8742,1.3571,2.0961,0,2.0961,20.5,49.3,49.3,"23,960",671,0.002,0,11403000,%
