,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Chad,0,0.5984,0.4787,1.0771,27.8124,0.0239,2.0345,2.0584,0.3112,2.0345,3.1833,0,0.0957,43.0828,43.1785,0.7659,6.9411,3.0158,10.7228,5.5529,1.8191,7.372,2.0823,0,2.0823,4.8,37.5,37.5,"5,069",174,0,0,16877000,%
Chile,0,0.0332,0.3985,0.4317,19.5782,0.631,2.4909,3.1219,1.2786,0.5812,2.1421,0.2325,1.096,37.6453,38.7413,1.3783,12.3547,7.4228,21.1558,0.3819,2.823,3.2049,7.6387,0,7.6387,28.8,2.7,2.7,"1,692,877","37,743",0.087,0.002,19470000,%
China,0.0209,0.6698,1.2872,1.9779,17.3827,1.2349,1.889,3.1239,1.2924,0.1727,1.4023,0.7797,2.4645,33.8235,36.288,1.1773,16.1844,9.8896,27.2513,1.0518,3.5791,4.6309,3.3436,0.0052,3.3488,6.6,8.5,8.5,"109,574","4,849",0,0,1402385000,%
Colombia,0,0.1293,0.2424,0.3717,15.3337,0.7433,3.2477,3.991,4.6857,0.824,2.7953,0.1777,0.614,41.1375,41.7515,0.4363,8.8544,4.0717,13.3624,0.3393,5.5906,5.9299,9.5492,0.0162,9.5654,22.1,4.8,4.8,"5,000,677","127,258",0.101,0.003,49444000,%
Congo,0,0.2382,1.1693,1.4075,12.6462,0.0433,0.2815,0.3248,1.8839,0.6063,17.7783,0,0.7579,45.0195,45.7774,0.065,4.9805,3.1832,8.2287,1.2343,4.699,5.9333,3.5513,0,3.5513,8.4,40.3,40.3,"17,323",258,0.003,0,5518000,%
Costa Rica,0,0.0829,0.7299,0.8128,14.499,0.6304,4.8938,5.5242,2.223,1.775,0.8129,0.1327,0.7133,38.6695,39.3828,1.9741,11.347,3.0358,16.3569,0.5309,7.9297,8.4606,8.4107,0,8.4107,25.7,4.8,4.8,"559,698","7,029",0.11,0.001,5111000,%
Cote d'Ivoire,0,0.1832,0.641,0.8242,18.8278,0.1282,0.2747,0.4029,2.5458,0.3846,15.5495,0.8425,0.641,47.8388,48.4798,0.0549,2.1612,0.8791,3.0952,1.2088,4.9451,6.1539,1.63,0,1.63,9,19,19,"61,292",695,0.002,0,26175000,%
Croatia,0,0.2594,0.6,0.8594,14.2695,0.5027,5.3997,5.9024,1.508,0.1135,1.1351,0.2757,1.9296,35.317,37.2466,2.4809,14.6911,5.4484,22.6204,0.7297,3.843,4.5727,7.4753,0,7.4753,27.1,<2.5,2,"467,029","9,198",0.116,0.002,4020000,%
Cuba,0,0.1027,0.1466,0.2493,19.607,0.4693,1.9651,2.4344,3.2116,2.5957,3.4609,0,1.2758,42.3962,43.672,0.6159,7.6111,4.2968,12.5238,0.8506,2.713,3.5636,7.5964,0,7.5964,26.7,<2.5,2,"951,325","8,230",0.084,0.001,11281000,%
Cyprus,0,0.1338,0.8604,0.9942,15.392,0.5927,4.5698,5.1625,1.9312,0.5354,0.9943,0.4015,1.5105,37.1511,38.6616,0.7075,12.8681,5.9847,19.5603,1.0134,7.4379,8.4513,4.4933,0,4.4933,22.6,5.6,5.6,"124,017",575,0.103,0,1207000,%
