Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
India,0.2781,27.652,3.4962,1.4303,3.1387,1.1124,0.1986,45.5701,7.3501,5.3238,3.5757,3.8,14.5,34273300,458186,0.024,0,1400100000
Indonesia,1.5736,31.9557,0.7608,1.4179,0.1729,2.4728,0.0865,47.3457,4.4095,5.9139,3.4584,6.9,8.3,4243835,143388,0.016,0.001,271739000
Iran (Islamic Republic of),0.4648,26.2179,1.6826,2.8526,1.0897,1.6346,1.2821,45.9294,9.5353,4.5834,4.5513,25.5,4.9,5916211,126126,0.07,0.001,84150000
Iraq,0.1395,29.7308,1.6152,1.5753,0.6979,0.339,0.1994,46.3808,6.5604,7.5374,4.7059,27.4,29,2054202,23138,0.052,0.001,39725000
Ireland,0.8609,14.4471,5.0578,1.8832,0.3228,1.7487,0.3497,37.2209,22.1146,5.838,6.0533,26.9,2,443631,5436,0.089,0.001,5003000
Israel,0.7833,15.297,4.5578,2.6919,0.8688,1.0255,0.6552,39.9373,17.8037,11.4656,3.6177,26.7,2,1327126,8085,0.144,0.001,9216000
Italy,0.8945,16.2999,4.5577,1.9878,0.6957,0.9655,0.7099,38.6483,19.6792,9.3852,4.4299,22.9,2,4767440,132074,0.079,0.002,60296000
Jamaica,1.0158,16.1255,2.9567,2.5757,0.5079,2.739,0.0363,41.5744,14.9465,5.6413,9.269,24.4,8,88907,2229,0.032,0.001,2809000
Japan,2.4657,19.6329,3.4854,0.8713,0.2595,1.1123,0.241,41.1198,14.3678,8.7504,4.5606,4.4,2,1723327,18268,0.014,0,125967000
Jordan,0.2948,22.0892,2.3397,1.308,1.1238,0.8106,0.35,45.0626,9.5247,9.5246,6.9823,33.4,12.2,860818,11028,0.081,0.001,10679000
Kazakhstan,0.3911,14.6746,7.4938,1.627,0.0782,2.9568,0.3442,37.7503,20.3379,8.0413,4.1302,21.3,2,1018841,17078,0.054,0.001,18732000
Kenya,0.3061,26.3951,3.3436,1.3892,3.5555,3.8615,0.1413,44.7139,8.147,3.6967,3.6732,6,29.4,253293,5276,0.005,0,53528000
"Korea, South",2.1965,20.5847,1.2615,1.1279,0.1633,0.564,0.4749,43.1137,15.2122,7.7768,5.2983,4.9,2,364700,2849,0.007,0,51781000
Kuwait,0.4354,20.4209,3.9913,2.5109,0.8273,1.2337,0.4209,42.5689,13.9188,6.2264,6.1393,37,2.8,412653,2461,0.088,0.001,4691000
Kyrgyzstan,0.286,22.8776,6.8633,0.8937,0.9294,3.092,0.3932,41.5193,14.8169,2.4486,4.3968,15.4,7.1,181186,2668,0.027,0,6594000
Lao People's Democratic Republic,0.919,29.488,0.2626,4.1516,0.4102,2.4614,0.0164,47.2596,8.3853,2.642,1.9856,4.5,16.5,39586,62,0.005,0,7242000
Latvia,0.9942,14.7546,5.6652,1.1835,0.0158,3.5821,0.3787,35.9318,24.1597,5.0812,4.0713,25.7,2,217339,3237,0.114,0.002,1902000
Lebanon,0.33,21.3268,2.3098,2.0841,1.042,1.4415,1.0247,46.1445,8.1452,8.5446,6.6342,31.3,11,641339,8495,0.094,0.001,6825000
Lesotho,0.3069,34.6044,1.0081,0.4602,1.819,2.3011,0,46.6799,6.0925,2.9366,2.7175,13.5,13.1,21634,658,0.01,0,2142000
Liberia,0.3753,25.2814,0.2345,1.6886,0.1642,8.0675,0.1173,47.6547,4.9718,8.9118,1.6417,8.6,37.2,5812,287,0.001,0,5058000
Lithuania,1.0967,15.7187,5.9073,1.1698,1.2867,1.3306,0.3217,35.5461,23.8778,3.8164,6.1705,28.4,2,406095,5833,0.145,0.002,2794000
Luxembourg,0.9295,11.979,6.1169,2.069,0.1049,1.2294,0.075,33.898,27.7661,4.168,4.048,24.2,2,81683,843,0.129,0.001,632000
Madagascar,0.3941,31.2401,1.1035,1.4714,0.762,7.9874,0.0263,46.7682,5.5176,1.9443,2.3121,4.5,44.4,43626,963,0.002,0,27691000
Malawi,0.4721,23.3428,0.2077,3.0784,2.8706,11.4259,0.0378,46.5723,7.3466,2.6818,1.5297,4.7,17.5,61794,2300,0.003,0,19130000
Malaysia,1.7876,21.5194,2.4579,0.9969,0.4469,0.6875,0.1375,42.231,13.3036,8.1644,7.0299,15.3,2.5,2466663,28876,0.075,0.001,32781000
Maldives,4.4183,22.5577,4.8845,2.1314,0.1776,0.8215,1.421,39.4316,14.9423,1.2877,5.4174,7.9,10.3,87487,243,0.162,0,541000
Mali,0.4104,32.9116,3.3339,0.8719,1.59,1.4532,0.359,45.324,7.7108,3.4193,1.7781,7.1,6.3,16038,563,0.001,0,20251000
Malta,0.997,15.8937,5.8807,1.5749,0.5202,1.127,0.4479,37.8413,21.5287,3.4244,7.5278,31,2,37637,461,0.072,0.001,522000
Mauritania,0.5454,26.6186,4.2399,0.6334,1.6538,0.3343,0,43.1386,9.9754,6.2632,6.3512,11.3,10.4,37275,795,0.008,0,4650000
Mauritius,0.8792,23.1974,2.8137,0.9273,1.4069,0.6235,0.0959,43.5652,10.9832,9.0487,4.6203,11.5,6.5,17698,166,0.014,0,1265000
Mexico,0.6746,21.5118,3.6645,1.6713,1.5486,0.506,0.23,40.555,16.222,4.9218,6.9917,28.4,3.6,3805765,288276,0.03,0.002,127792000
Mongolia,0.8226,18.7724,6.9606,0.3375,0.0844,1.2234,0.0422,30.3733,32.9466,2.9952,2.9319,19.6,13.4,359396,1734,0.107,0.001,3361000
Montenegro,0.5028,16.1184,8.7631,2.3416,0.6177,0.7039,0.3591,33.4722,25.9877,3.3328,4.7694,24.9,2,143785,2100,0.231,0.003,622000
Morocco,0.7396,29.4675,1.4053,2.0562,0.6509,1.4053,0.429,46.213,7.5888,4.2159,5.4142,25.6,3.4,945960,14667,0.026,0,35952000
Mozambique,0.5207,21.957,0.8462,0.8679,2.6036,14.1679,0.1736,47.5374,4.4696,4.2526,2.148,6,27.9,151270,1930,0.005,0,31166000
Myanmar,2.2029,23.4358,1.4994,1.3514,2.6287,0.722,0.4258,40.3554,18.0488,5.1092,3.5542,5.7,10.6,499321,18664,0.009,0,54704000
Namibia,0.6168,18.7294,2.3026,1.1308,1.6036,7.2368,0.0411,43.9145,10.1357,5.4893,5.7155,15,27.3,128906,3552,0.051,0.001,2541000
Nepal,0.1918,30.7115,2.0753,1.4475,1.9881,2.7206,0.1744,47.7503,5.2668,5.0401,1.4999,3.8,8.7,812194,11399,0.027,0,29996000
Netherlands,0.785,11.4822,7.6342,2.6936,0.2309,2.2626,0.6772,34.7391,24.6267,5.7719,6.5877,23.1,2,2163794,18836,0.124,0.001,17467000
New Zealand,0.7603,14.4781,2.9304,1.6632,0.5227,1.5524,0.5544,35.9892,26.5484,4.2452,8.8706,32,2,6429,28,0.001,0,4987000
Nicaragua,0.3424,25.0904,3.0055,1.2174,2.3778,0.856,0,44.2077,9.3209,4.7176,7.8181,21.8,17,16422,208,0.002,0,6596000
Niger,0.1938,31.0585,1.6673,0.8337,6.3009,0.6979,0,48.2551,4.9826,5.1377,0.6786,4.7,16.5,6339,212,0,0,24189000
Nigeria,0.3856,21.5953,0.3857,1.441,1.9687,12.259,0.1827,49.4824,2.4559,6.576,1.6034,7.8,13.4,211887,2895,0.001,0,206140000
North Macedonia,0.3668,16.6889,3.8679,2.1507,0.7836,1.8673,0.4335,43.3144,14.6049,7.4025,6.3021,23.9,3.2,202203,7121,0.097,0.003,2080000
Norway,1.6255,14.0092,5.7042,1.862,0.8275,1.4334,0.4286,35.2741,23.8363,6.8864,4.1673,25,2,206653,900,0.038,0,5387000
Oman,0.9212,19.7544,5.2371,6.8918,0.6482,0.8188,0.1876,41.6581,13.9202,4.3841,4.5036,22.9,6.8,304241,4111,0.065,0.001,4713000
