Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Sudan,0.3814,12.9192,10.5292,7.0919,1.0631,1.9167,0,45.229,15.3269,1.4286,3.8493,7.4,20.1,40433,3099,0.001,0,43849000
Suriname,1.4924,13.9476,1.6196,8.6872,0.1719,2.4553,0.0155,48.5622,10.4873,2.0108,5.0258,26.5,8.5,48964,1090,0.081,0.002,605000
Sweden,1.7745,6.1923,17.0953,3.5405,0.0937,2.8343,0.0996,30.5392,29.2545,0.5679,2.5211,22.1,2,1171512,15025,0.113,0.001,10377000
Switzerland,1.068,5.9818,17.2437,4.6041,0.0995,2.1542,0.2377,32.5183,26.5343,1.1761,2.9737,21.2,2,872558,11233,0.101,0.001,8634000
Thailand,2.7821,17.5571,2.4422,8.3291,0.2344,1.8887,0.0938,45.8107,10.3405,2.0591,4.0424,10.8,7.8,1903165,19158,0.029,0,66534000
Timor-Leste,1.1378,26.332,0.2332,2.1027,0.9098,5.5022,0.0013,47.6897,9.6256,1.2454,2.8203,2.9,24.9,19789,122,0.015,0,1318000
Togo,1.3953,15.8144,0.8313,0.91,1.7626,20.0654,0,48.4924,5.1127,1.8817,1.8312,7.1,16.1,26068,242,0.003,0,8279000
Trinidad and Tobago,2.5136,13.0903,3.2833,4.9733,0.8939,3.5148,0.0928,40.7401,19.7702,2.4579,5.62,19.7,5.5,57121,1682,0.042,0.001,1369000
Tunisia,0.8541,12.0523,6.9283,5.4307,0.4311,1.7724,0.3489,56.1404,11.4806,1.4582,2.0832,27.3,4.3,712318,25231,0.06,0.002,11896000
Turkey,0.3439,9.708,9.7575,6.8321,0.682,2.4947,0.4664,51.212,14.5309,1.2894,1.7004,32.2,2,8009010,70410,0.096,0.001,83737000
Uganda,1.1572,6.748,3.557,11.3112,2.3942,12.361,0,47.0239,6.5803,1.3778,1.2601,4.1,41,126075,3215,0.003,0,45741000
Ukraine,0.8166,9.3613,9.3876,2.9418,0.1099,7.6721,0.0807,46.3138,16.0392,0.6645,3.8811,26.1,3.5,3039616,71710,0.073,0.002,41778000
United Arab Emirates,2.1777,12.906,3.2426,8.1938,2.1108,0.8937,0.5838,47.7156,15.6787,1.4082,3.6576,29.9,2.6,739824,2136,0.076,0,9778000
